,Tokens,Occurences
203,excel,"[('1Amy.txt', 1), ('2Ben.txt', 1), ('3Carrie.txt', 3)]"
204,market,"[('2Ben.txt', 1)]"
205,account,"[('1Amy.txt', 8), ('2Ben.txt', 6), ('3Carrie.txt', 3)]"
206,ensur,"[('1Amy.txt', 3), ('2Ben.txt', 2), ('3Carrie.txt', 2)]"
207,discov,"[('1Amy.txt', 3), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
208,coordin,"[('3Carrie.txt', 1)]"
209,institut,"[('1Amy.txt', 1), ('3Carrie.txt', 2)]"
210,termin,"[('3Carrie.txt', 1)]"
211,websit,"[('2Ben.txt', 1)]"
212,base,"[('3Carrie.txt', 2)]"
213,sourc,"[('2Ben.txt', 1)]"
214,deadlin,"[('1Amy.txt', 1), ('3Carrie.txt', 1)]"
215,resourc,"[('2Ben.txt', 1)]"
216,numer,"[('2Ben.txt', 1)]"
217,train,"[('1Amy.txt', 3), ('3Carrie.txt', 1)]"
218,cfa,"[('3Carrie.txt', 2)]"
219,2006,"[('3Carrie.txt', 1)]"
220,review,"[('1Amy.txt', 1), ('2Ben.txt', 2), ('3Carrie.txt', 1)]"
221,feedback,"[('1Amy.txt', 1)]"
222,individu,"[('3Carrie.txt', 2)]"
223,skill,"[('1Amy.txt', 1), ('2Ben.txt', 2)]"
224,deliver,"[('2Ben.txt', 1)]"
225,nov,"[('1Amy.txt', 2), ('2Ben.txt', 1)]"
226,aug,"[('2Ben.txt', 2), ('3Carrie.txt', 1)]"
227,gener,"[('3Carrie.txt', 1)]"
228,strong,"[('2Ben.txt', 1)]"
229,outstand,"[('1Amy.txt', 1)]"
230,ann,"[('1Amy.txt', 1)]"
231,capit,"[('2Ben.txt', 1)]"
232,administr,"[('1Amy.txt', 2)]"
233,close,"[('1Amy.txt', 1), ('3Carrie.txt', 2)]"
234,basi,"[('1Amy.txt', 1), ('2Ben.txt', 1)]"
235,creativ,"[('2Ben.txt', 1)]"
236,microsoft,"[('1Amy.txt', 1), ('3Carrie.txt', 1)]"
237,assist,"[('1Amy.txt', 2), ('2Ben.txt', 3), ('3Carrie.txt', 2)]"
238,verif,"[('1Amy.txt', 1)]"
239,murdoch,"[('3Carrie.txt', 1)]"
240,polytechn,"[('1Amy.txt', 1), ('3Carrie.txt', 1)]"
241,interim,"[('1Amy.txt', 1)]"
242,sep,"[('2Ben.txt', 2)]"
243,investor,"[('2Ben.txt', 1), ('3Carrie.txt', 1)]"
244,carrier,"[('1Amy.txt', 1)]"
245,constraint,"[('3Carrie.txt', 1)]"
246,2010,"[('2Ben.txt', 1)]"
247,supplier,"[('1Amy.txt', 1)]"
248,requir,"[('2Ben.txt', 2)]"
249,satisfact,"[('3Carrie.txt', 2)]"
250,dec,"[('2Ben.txt', 1)]"
251,document,"[('2Ben.txt', 3)]"
252,artilleri,"[('1Amy.txt', 1)]"
253,decreas,"[('3Carrie.txt', 1)]"
254,25,"[('3Carrie.txt', 2)]"
255,qualif,"[('1Amy.txt', 1)]"
256,deliv,"[('1Amy.txt', 1)]"
257,cover,"[('2Ben.txt', 1)]"
258,ms,"[('2Ben.txt', 1), ('3Carrie.txt', 1)]"
259,35,"[('3Carrie.txt', 2)]"
260,increas,"[('3Carrie.txt', 5)]"
261,singapor,"[('1Amy.txt', 3), ('2Ben.txt', 4), ('3Carrie.txt', 5)]"
262,answer,"[('3Carrie.txt', 1)]"
263,certif,"[('1Amy.txt', 1), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
264,monitor,"[('2Ben.txt', 1)]"
265,15,"[('3Carrie.txt', 3)]"
266,consortium,"[('2Ben.txt', 1)]"
267,strength,"[('3Carrie.txt', 1)]"
268,financi,"[('1Amy.txt', 2), ('2Ben.txt', 4), ('3Carrie.txt', 5)]"
269,hoc,"[('2Ben.txt', 1)]"
270,within,"[('2Ben.txt', 1), ('3Carrie.txt', 2)]"
271,june,"[('3Carrie.txt', 1)]"
272,issu,"[('2Ben.txt', 3)]"
273,etc,"[('2Ben.txt', 3)]"
274,deliveri,"[('3Carrie.txt', 1)]"
275,ngee,"[('1Amy.txt', 1)]"
276,anglo,"[('2Ben.txt', 1)]"
277,uec,"[('2Ben.txt', 1)]"
278,20,"[('3Carrie.txt', 6)]"
279,limit,"[('1Amy.txt', 1)]"
280,inform,"[('2Ben.txt', 2), ('3Carrie.txt', 1)]"
281,pti,"[('1Amy.txt', 1), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
282,workload,"[('3Carrie.txt', 1)]"
283,jul,"[('1Amy.txt', 2), ('2Ben.txt', 1)]"
284,task,"[('1Amy.txt', 1), ('2Ben.txt', 1)]"
285,g,"[('1Amy.txt', 1)]"
286,analyst,"[('2Ben.txt', 2)]"
287,variou,"[('1Amy.txt', 1), ('2Ben.txt', 1)]"
288,secur,"[('2Ben.txt', 1)]"
289,problem,"[('1Amy.txt', 1)]"
290,compet,"[('1Amy.txt', 2)]"
291,run,"[('1Amy.txt', 1)]"
292,english,"[('1Amy.txt', 2), ('2Ben.txt', 1), ('3Carrie.txt', 2)]"
293,action,"[('2Ben.txt', 1), ('3Carrie.txt', 1)]"
294,cross,"[('3Carrie.txt', 1)]"
295,school,"[('1Amy.txt', 1), ('2Ben.txt', 1)]"
296,investig,"[('1Amy.txt', 1)]"
297,respond,"[('2Ben.txt', 1)]"
298,chines,"[('1Amy.txt', 2)]"
299,budget,"[('2Ben.txt', 1)]"
300,2003,"[('1Amy.txt', 1), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
301,30,"[('3Carrie.txt', 2)]"
302,payment,"[('1Amy.txt', 1)]"
303,captur,"[('2Ben.txt', 1)]"
304,per,"[('2Ben.txt', 2)]"
305,depart,"[('2Ben.txt', 1), ('3Carrie.txt', 1)]"
306,thu,"[('3Carrie.txt', 2)]"
307,bench,"[('3Carrie.txt', 1)]"
308,master,"[('2Ben.txt', 2)]"
309,charg,"[('1Amy.txt', 1), ('2Ben.txt', 1)]"
310,expens,"[('2Ben.txt', 4)]"
311,5,"[('2Ben.txt', 1)]"
312,2008,"[('1Amy.txt', 1)]"
313,understand,"[('2Ben.txt', 1)]"
314,tight,"[('3Carrie.txt', 1)]"
315,99,"[('3Carrie.txt', 1)]"
316,resolut,"[('1Amy.txt', 1), ('2Ben.txt', 1)]"
317,journal,"[('1Amy.txt', 1)]"
318,specialist,"[('1Amy.txt', 1)]"
319,collect,"[('1Amy.txt', 1)]"
320,thomson,"[('1Amy.txt', 1)]"
321,unit,"[('2Ben.txt', 2)]"
322,valuat,"[('1Amy.txt', 1)]"
323,2nd,"[('1Amy.txt', 1)]"
324,secondari,"[('1Amy.txt', 1)]"
325,2005,"[('1Amy.txt', 1), ('2Ben.txt', 1)]"
326,cash,"[('1Amy.txt', 1), ('2Ben.txt', 1)]"
327,first,"[('1Amy.txt', 1)]"
328,jun,"[('2Ben.txt', 1)]"
329,lookout,"[('1Amy.txt', 1)]"
330,technician,"[('3Carrie.txt', 1)]"
331,may,"[('2Ben.txt', 1), ('3Carrie.txt', 2)]"
332,2011,"[('2Ben.txt', 1), ('3Carrie.txt', 1)]"
333,fast,"[('1Amy.txt', 1)]"
334,procedur,"[('3Carrie.txt', 2)]"
